dataset_id	sample_id	method_id	K	x	y	domain_label	notes	seed
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11776.098212544668	7669.021167475486	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12194.607113503434	8056.616296243585	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12589.164828390903	5193.0498086994485	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13372.146649327276	5572.850118171948	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12713.974561004958	4635.2167307977	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12802.133967238173	8757.405455744398	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11171.962105203513	7126.7777281649305	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13844.475569951006	4214.493620023311	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12363.280587917896	7418.536005834754	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14914.375066444922	5222.630695785141	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15737.829882788115	5363.638072560301	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15110.174512008063	5852.91616689837	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15029.444482510618	8471.843607273473	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11472.442766335396	8389.297375215292	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14792.956080224454	5939.009493877147	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14867.336539567128	7285.673763082385	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13898.94347356457	8892.56671804786	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15201.508703318665	7992.309037054898	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14418.310921066091	5471.167152601975	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10921.910717343006	3959.760734007576	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14728.747860062533	5067.98238524268	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13810.784067331357	4770.37799310116	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14431.873906640434	6105.350033363002	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12818.6557765737	5267.450906734832	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14296.891934845626	6187.545950693981	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11799.401514667365	4496.158058846435	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13692.971788820672	7786.644086363855	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12663.54528773358	6539.714077904691	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13129.09271557014	4864.266139375536	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10618.471232449936	6821.378516727814	5	baseline-domain-map	
